wind_speed_kmph,humidity_pct,payload_mass_kg,vehicle_type_index,countdown_hold_min
71.5,64.4,24336.6,1,109.05
59.0,81.7,31616.8,1,123.59
42.8,80.1,16885.5,3,104.37
61.1,85.4,32260.1,4,177.69
32.1,51.7,22583.3,2,76.49
24.7,34.9,19139.4,4,116.05
52.9,81.7,38359.3,1,120.87
70.8,52.5,20888.9,1,112.44
40.5,38.3,32344.9,2,136.26
22.8,65.7,36127.5,1,113.63
78.2,48.7,21289.7,4,168.45
41.7,61.8,35768.7,2,136.48
39.9,76.5,29900.2,3,134.79
23.2,67.0,11797.9,4,80.78
25.8,35.9,13271.6,4,110.45
53.8,60.5,26476.5,1,106.63
26.2,50.9,31563.5,3,146.63
30.2,59.2,18179.3,1,68.91
48.7,31.5,37194.7,2,175.1
21.9,58.8,22642.4,2,76.43
